CRNN_data\000000.jpg	self
CRNN_data\000001.jpg	adhesive
CRNN_data\000002.jpg	address
CRNN_data\000003.jpg	labels
CRNN_data\000004.jpg	36
CRNN_data\000005.jpg	250
CRNN_data\000006.jpg	on
CRNN_data\000007.jpg	a
CRNN_data\000008.jpg	roll
CRNN_data\000009.jpg	greek
CRNN_data\000010.jpg	gastronomy
CRNN_data\000011.jpg	cookery
CRNN_data\000012.jpg	wines
CRNN_data\000013.jpg	local
CRNN_data\000014.jpg	toubrs
CRNN_data\000015.jpg	specialties
CRNN_data\000016.jpg	festive
CRNN_data\000017.jpg	recipes
CRNN_data\000018.jpg	illustrated
CRNN_data\000019.jpg	83
CRNN_data\000020.jpg	73
CRNN_data\000021.jpg	the
CRNN_data\000022.jpg	house
CRNN_data\000023.jpg	of
CRNN_data\000024.jpg	the
CRNN_data\000025.jpg	spirits
CRNN_data\000026.jpg	isabel
CRNN_data\000027.jpg	allende
CRNN_data\000028.jpg	intensely
CRNN_data\000029.jpg	moving
CRNN_data\000030.jpg	both
CRNN_data\000031.jpg	entertaining
CRNN_data\000032.jpg	deeply
CRNN_data\000033.jpg	serious
CRNN_data\000034.jpg	evening
CRNN_data\000035.jpg	standard
CRNN_data\000036.jpg	digital
CRNN_data\000037.jpg	multimedia
CRNN_data\000038.jpg	wiley
CRNN_data\000039.jpg	nigel
CRNN_data\000040.jpg	chapman
CRNN_data\000041.jpg	jenny
CRNN_data\000042.jpg	chapman
CRNN_data\000043.jpg	software
CRNN_data\000044.jpg	design
CRNN_data\000045.jpg	for
CRNN_data\000046.jpg	systems
CRNN_data\000047.jpg	j
CRNN_data\000048.jpg	e
CRNN_data\000049.jpg	cooling
CRNN_data\000050.jpg	nokia
CRNN_data\000051.jpg	adapter
CRNN_data\000052.jpg	cable
CRNN_data\000053.jpg	dlr
CRNN_data\000054.jpg	3p
CRNN_data\000055.jpg	a4382
CRNN_data\000056.jpg	nokia
CRNN_data\000057.jpg	6210
CRNN_data\000058.jpg	dlr
CRNN_data\000059.jpg	data
CRNN_data\000060.jpg	cable
CRNN_data\000061.jpg	professional
CRNN_data\000062.jpg	issues
CRNN_data\000063.jpg	in
CRNN_data\000064.jpg	software
CRNN_data\000065.jpg	engineering
CRNN_data\000066.jpg	coleman
CRNN_data\000067.jpg	rowland
