                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5869,                 2.3216,                 1.3716,                0.59873,                0.55914,                0.52657,                 0.3174,                 1.1677,                 1.9285,                 1.1435,                0.00066,                0.00066,                0.00066
                      2,                 1.3385,                 1.7087,                 1.2231,                0.27237,                0.51613,                0.22578,                0.11698,                 1.3781,                 2.2176,                 1.2639,              0.0013201,              0.0013201,              0.0013201
                      3,                 1.4492,                 1.5946,                 1.2971,                0.37953,                0.61498,                0.33197,                0.17469,                 1.4607,                 2.9784,                 1.3866,              0.0019736,              0.0019736,              0.0019736
                      4,                 1.4686,                 1.6172,                 1.3624,                0.73688,                0.57527,                0.66026,                0.35316,                 1.4095,                 1.4428,                 1.2963,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.4257,                 1.4256,                 1.2526,                0.72649,                0.65591,                0.69652,                0.44987,                 1.3008,                 1.2585,                 1.1657,              0.0019604,              0.0019604,              0.0019604
                      6,                  1.363,                 1.3091,                 1.2741,                0.76302,                0.62366,                0.69767,                0.42274,                 1.2846,                 1.2158,                 1.2188,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.3176,                 1.2579,                 1.2569,                0.78595,                0.69094,                0.75619,                0.43762,                 1.2708,                 1.3582,                 1.2193,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.3357,                 1.2237,                 1.2589,                0.77219,                0.67742,                0.74161,                0.43247,                 1.3527,                 1.2257,                 1.2264,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.3162,                  1.234,                 1.2345,                0.64063,                0.63978,                 0.6465,                0.37197,                  1.236,                 1.3029,                 1.1984,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.3293,                 1.3017,                 1.2427,                0.78258,                0.72043,                0.78298,                0.45566,                 1.2475,                 1.2506,                  1.234,              0.0019109,              0.0019109,              0.0019109
                     11,                 1.2894,                 1.1912,                 1.2357,                 0.8375,                0.74731,                  0.827,                0.49695,                 1.1895,                 1.0267,                 1.1733,               0.001901,               0.001901,               0.001901
                     12,                 1.2923,                 1.1379,                 1.2333,                0.74205,                0.78495,                0.76804,                0.48096,                 1.0922,                 1.0812,                  1.101,              0.0018911,              0.0018911,              0.0018911
                     13,                 1.2177,                 1.0475,                 1.1966,                0.86449,                0.76882,                0.86962,                0.55829,                 1.1559,                0.91673,                 1.1351,              0.0018812,              0.0018812,              0.0018812
                     14,                 1.2878,                 1.1068,                 1.2195,                0.82871,                0.78035,                0.83947,                0.52989,                 1.1672,                0.98048,                 1.1607,              0.0018713,              0.0018713,              0.0018713
                     15,                 1.2364,                 1.1279,                 1.2311,                0.78355,                0.72011,                0.78954,                0.51768,                   1.12,                0.95994,                 1.1119,              0.0018614,              0.0018614,              0.0018614
                     16,                 1.2381,                 1.1195,                 1.2102,                0.82023,                0.72581,                0.80978,                  0.483,                  1.236,                 1.0031,                 1.1515,              0.0018515,              0.0018515,              0.0018515
                     17,                 1.2285,                 1.1113,                 1.1845,                0.79593,                0.75806,                0.79878,                0.54199,                 1.0945,                 1.0118,                  1.105,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.1893,                 1.0926,                 1.1841,                0.74196,                0.74205,                0.73417,                0.48848,                 1.0331,                 1.0099,                 1.0822,              0.0018317,              0.0018317,              0.0018317
                     19,                 1.2079,                 1.0699,                 1.1816,                0.80934,                0.73118,                0.81348,                0.51253,                  1.142,                 1.0176,                 1.1266,              0.0018218,              0.0018218,              0.0018218
                     20,                 1.1829,                 1.0345,                 1.1767,                 0.8281,                0.73118,                0.80866,                0.49143,                 1.1844,                0.99776,                 1.1525,              0.0018119,              0.0018119,              0.0018119
                     21,                 1.2036,                 1.0596,                 1.2169,                0.87163,                0.69359,                 0.8019,                0.54574,                 1.1091,                0.97522,                 1.1105,               0.001802,               0.001802,               0.001802
                     22,                 1.1688,                 1.0107,                 1.1736,                 0.8223,                0.75269,                0.80065,                0.52523,                 1.2212,                 1.0037,                 1.1493,              0.0017921,              0.0017921,              0.0017921
                     23,                 1.1779,                0.98565,                 1.1602,                0.85537,                0.76344,                0.83786,                0.57462,                 1.0184,                0.91783,                 1.0579,              0.0017822,              0.0017822,              0.0017822
                     24,                  1.143,                0.98634,                 1.1394,                0.88499,                0.74194,                0.82829,                0.55146,                 1.0699,                0.91284,                  1.066,              0.0017723,              0.0017723,              0.0017723
                     25,                 1.1726,                 1.0491,                   1.17,                0.76119,                0.66667,                0.77382,                0.52123,                 1.0431,                0.97718,                 1.0643,              0.0017624,              0.0017624,              0.0017624
                     26,                 1.1422,                0.98905,                 1.1468,                0.79515,                0.74194,                0.81021,                0.54917,                 1.0539,                0.95726,                 1.0782,              0.0017525,              0.0017525,              0.0017525
                     27,                 1.0843,                 1.0022,                 1.1492,                0.85267,                0.76882,                0.83145,                0.56586,                 1.0499,                0.90472,                 1.1076,              0.0017426,              0.0017426,              0.0017426
                     28,                 1.1002,                  0.983,                 1.1327,                0.86561,                0.74731,                0.81636,                0.54285,                 1.0779,                0.90524,                 1.0775,              0.0017327,              0.0017327,              0.0017327
                     29,                 1.1859,                 1.0251,                 1.1617,                0.82392,                0.75806,                0.79964,                0.53675,                 1.0712,                0.96841,                 1.0588,              0.0017228,              0.0017228,              0.0017228
                     30,                 1.0846,                 0.9906,                 1.1559,                0.78142,                0.80728,                0.81239,                0.56408,                 1.0415,                0.88807,                 1.0709,              0.0017129,              0.0017129,              0.0017129
                     31,                 1.1262,                 0.9824,                  1.132,                0.88978,                0.78124,                0.85408,                0.57959,                 1.0181,                0.88427,                 1.0764,               0.001703,               0.001703,               0.001703
                     32,                 1.0851,                0.97869,                 1.1415,                0.89873,                0.77419,                0.84157,                0.58684,                0.99309,                0.85829,                 1.0427,              0.0016931,              0.0016931,              0.0016931
                     33,                 1.0587,                0.90956,                 1.1049,                0.83839,                0.74731,                0.83083,                0.55931,                  1.069,                 0.8968,                 1.1021,              0.0016832,              0.0016832,              0.0016832
                     34,                 1.0764,                0.84879,                 1.0937,                0.86314,                0.74596,                0.81407,                0.53478,                 1.0065,                0.95041,                 1.0773,              0.0016733,              0.0016733,              0.0016733
                     35,                 1.0577,                0.86187,                  1.108,                0.83077,                0.77957,                0.83365,                0.57533,                 1.0041,                0.85784,                 1.0538,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.0533,                 0.8645,                 1.0968,                0.82886,                0.78495,                0.82631,                0.57576,                0.99707,                0.87189,                 1.0298,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.0276,                0.91696,                 1.0992,                 0.8645,                 0.7957,                0.82514,                0.56435,                 1.0225,                  0.916,                  1.044,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.0234,                0.99507,                 1.1114,                0.80605,                0.78205,                0.81801,                0.56446,                 1.0172,                0.92595,                 1.0413,              0.0016337,              0.0016337,              0.0016337
                     39,                 1.0458,                0.88704,                 1.1032,                0.83272,                0.76882,                 0.8056,                0.55403,                 1.0496,                0.89263,                 1.0641,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.0112,                0.82908,                 1.0839,                0.82112,                0.75806,                0.79929,                0.57634,                0.95307,                0.86868,                 1.0301,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.0437,                0.82197,                  1.101,                0.86621,                0.78495,                0.83383,                0.58139,                 0.9582,                0.80696,                 1.0396,               0.001604,               0.001604,               0.001604
                     42,                0.99181,                0.80121,                 1.0715,                0.84511,                0.79206,                 0.8194,                0.56985,                0.94509,                0.82238,                 1.0234,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.0052,                 0.7845,                 1.0685,                 0.7796,                0.78495,                0.79681,                0.55466,                 0.9805,                0.84867,                 1.0446,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.0252,                0.84807,                 1.0775,                 0.8933,                0.74731,                0.84121,                0.57872,                 1.0086,                0.83171,                 1.0497,              0.0015743,              0.0015743,              0.0015743
                     45,                 0.9589,                0.82921,                 1.0693,                0.83499,                0.78899,                0.83899,                0.58816,                0.98112,                0.82729,                  1.046,              0.0015644,              0.0015644,              0.0015644
                     46,                 1.0367,                 0.8602,                 1.0869,                0.85749,                0.75806,                0.83415,                0.56771,                  1.009,                0.87952,                 1.0655,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.0184,                0.80672,                 1.0903,                0.90241,                0.74571,                 0.8311,                0.57461,                 1.0232,                0.84224,                 1.0666,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.0001,                0.79041,                 1.0681,                0.86338,                0.80108,                0.84759,                0.58766,                0.97092,                0.82372,                 1.0372,              0.0015347,              0.0015347,              0.0015347
                     49,                 1.0168,                0.81958,                 1.1219,                0.90658,                0.78262,                0.84831,                0.59235,                0.95829,                0.79185,                 1.0126,              0.0015248,              0.0015248,              0.0015248
                     50,                 1.0053,                0.81458,                 1.0762,                  0.926,                0.80735,                0.85468,                0.60452,                0.95993,                0.81635,                 1.0083,              0.0015149,              0.0015149,              0.0015149
                     51,                  1.043,                0.83598,                 1.0905,                0.89087,                0.77957,                0.84999,                 0.6041,                0.96587,                0.80028,                 1.0178,               0.001505,               0.001505,               0.001505
                     52,                0.93341,                0.78573,                 1.0517,                0.86211,                 0.8067,                0.86664,                0.62252,                0.93477,                0.76852,                 1.0103,              0.0014951,              0.0014951,              0.0014951
                     53,                0.96415,                0.79215,                 1.0566,                0.86075,                0.81183,                 0.8499,                0.61069,                0.94013,                0.79742,                 1.0215,              0.0014852,              0.0014852,              0.0014852
                     54,                0.90948,                0.75685,                 1.0336,                0.85905,                0.80645,                0.85415,                0.59634,                0.98152,                 0.7878,                 1.0209,              0.0014753,              0.0014753,              0.0014753
                     55,                0.96199,                0.72771,                 1.0566,                0.88416,                0.82075,                0.86983,                0.62412,                 0.9091,                 0.7215,                0.99779,              0.0014654,              0.0014654,              0.0014654
                     56,                0.93283,                0.72184,                 1.0477,                0.87731,                0.76889,                0.83918,                0.60692,                   0.95,                0.79012,                 1.0038,              0.0014555,              0.0014555,              0.0014555
                     57,                0.97001,                 0.7794,                 1.0579,                0.83142,                0.77419,                0.84248,                0.59095,                0.97065,                0.80069,                   1.03,              0.0014456,              0.0014456,              0.0014456
                     58,                0.94566,                0.75323,                 1.0703,                0.87105,                 0.8172,                0.87536,                0.61118,                0.95781,                0.75365,                 1.0368,              0.0014357,              0.0014357,              0.0014357
                     59,                0.93047,                0.76163,                 1.0543,                0.93804,                0.75269,                0.85653,                0.59517,                0.97259,                0.79108,                 1.0168,              0.0014258,              0.0014258,              0.0014258
                     60,                0.96379,                0.73272,                 1.0414,                0.89247,                 0.7957,                0.84808,                0.60524,                0.95145,                0.80095,                 1.0114,              0.0014159,              0.0014159,              0.0014159
                     61,                0.94099,                0.76291,                 1.0295,                0.88474,                0.82796,                0.86045,                0.61255,                0.93449,                0.77724,                0.98879,               0.001406,               0.001406,               0.001406
                     62,                0.94307,                0.72048,                 1.0376,                0.89611,                 0.7957,                0.84278,                0.59029,                0.97403,                0.77422,                 1.0178,              0.0013961,              0.0013961,              0.0013961
                     63,                0.95541,                0.78595,                 1.0471,                0.84429,                 0.8172,                0.85712,                0.61744,                 0.9921,                0.75507,                 1.0103,              0.0013862,              0.0013862,              0.0013862
                     64,                0.92861,                 0.7488,                 1.0577,                0.88147,                0.80108,                0.86877,                0.61052,                 0.9639,                0.82941,                  1.006,              0.0013763,              0.0013763,              0.0013763
